Training ... 
solution loss = 2.993944, solution error = 0.914112, grad_solution error = 1.353087
solution loss = 2.993255, solution error = 0.912009, grad_solution error = 1.352005
solution loss = 2.991409, solution error = 0.914645, grad_solution error = 1.351917
solution loss = 2.952339, solution error = 0.911803, grad_solution error = 1.350931
solution loss = 2.934256, solution error = 0.913678, grad_solution error = 1.350877
solution loss = 2.930923, solution error = 0.912290, grad_solution error = 1.349875
solution loss = 2.917699, solution error = 0.909619, grad_solution error = 1.348797
solution loss = 2.886474, solution error = 0.910908, grad_solution error = 1.348472
solution loss = 2.874513, solution error = 0.910378, grad_solution error = 1.347741
solution loss = 2.863161, solution error = 0.910034, grad_solution error = 1.347619
solution loss = 2.876994, solution error = 0.908302, grad_solution error = 1.346691
solution loss = 2.839028, solution error = 0.909555, grad_solution error = 1.345838
solution loss = 2.848698, solution error = 0.908306, grad_solution error = 1.345196
solution loss = 2.811386, solution error = 0.907440, grad_solution error = 1.344868
solution loss = 2.814112, solution error = 0.908944, grad_solution error = 1.344649
solution loss = 2.789225, solution error = 0.908363, grad_solution error = 1.343632
solution loss = 2.776238, solution error = 0.908574, grad_solution error = 1.343568
solution loss = 2.748153, solution error = 0.906224, grad_solution error = 1.342493
solution loss = 2.740173, solution error = 0.906924, grad_solution error = 1.342028
solution loss = 2.750259, solution error = 0.905038, grad_solution error = 1.341168
solution loss = 2.719473, solution error = 0.906621, grad_solution error = 1.341124
solution loss = 2.712565, solution error = 0.906150, grad_solution error = 1.340475
solution loss = 2.710831, solution error = 0.905841, grad_solution error = 1.340053
solution loss = 2.709547, solution error = 0.905772, grad_solution error = 1.339138
solution loss = 2.656630, solution error = 0.903663, grad_solution error = 1.338369
solution loss = 2.656086, solution error = 0.904466, grad_solution error = 1.338354
solution loss = 2.642971, solution error = 0.904253, grad_solution error = 1.337155
solution loss = 2.636161, solution error = 0.902041, grad_solution error = 1.336274
solution loss = 2.632829, solution error = 0.903648, grad_solution error = 1.335756
solution loss = 2.597981, solution error = 0.902504, grad_solution error = 1.334894
solution loss = 2.598251, solution error = 0.901004, grad_solution error = 1.334212
solution loss = 2.577840, solution error = 0.901988, grad_solution error = 1.333967
solution loss = 2.588133, solution error = 0.902292, grad_solution error = 1.333009
solution loss = 2.563273, solution error = 0.901651, grad_solution error = 1.332548
solution loss = 2.538667, solution error = 0.901398, grad_solution error = 1.331982
solution loss = 2.531582, solution error = 0.901789, grad_solution error = 1.331565
solution loss = 2.523124, solution error = 0.898445, grad_solution error = 1.330075
solution loss = 2.514093, solution error = 0.899742, grad_solution error = 1.329546
solution loss = 2.498025, solution error = 0.899964, grad_solution error = 1.328995
solution loss = 2.461063, solution error = 0.899295, grad_solution error = 1.328378
solution loss = 2.472474, solution error = 0.898079, grad_solution error = 1.327199
solution loss = 2.434760, solution error = 0.898817, grad_solution error = 1.327262
solution loss = 2.452772, solution error = 0.898631, grad_solution error = 1.326236
solution loss = 2.424550, solution error = 0.896646, grad_solution error = 1.325083
solution loss = 2.423663, solution error = 0.897058, grad_solution error = 1.324452
solution loss = 2.394152, solution error = 0.896222, grad_solution error = 1.323512
solution loss = 2.403562, solution error = 0.896247, grad_solution error = 1.322455
solution loss = 2.381171, solution error = 0.896113, grad_solution error = 1.321716
solution loss = 2.370712, solution error = 0.894940, grad_solution error = 1.321311
solution loss = 2.354209, solution error = 0.895403, grad_solution error = 1.320382
solution loss = 2.336110, solution error = 0.893493, grad_solution error = 1.319499
solution loss = 2.337881, solution error = 0.894911, grad_solution error = 1.318914
solution loss = 2.327813, solution error = 0.892681, grad_solution error = 1.317760
solution loss = 2.321546, solution error = 0.892756, grad_solution error = 1.317362
solution loss = 2.327368, solution error = 0.893835, grad_solution error = 1.316677
solution loss = 2.304090, solution error = 0.894132, grad_solution error = 1.316049
solution loss = 2.284948, solution error = 0.893351, grad_solution error = 1.315459
