Training ... 
solution loss = 5.099352, solution error = 1.209234, grad_solution error = 2.286741
solution loss = 5.154826, solution error = 1.207249, grad_solution error = 2.281552
solution loss = 5.079128, solution error = 1.207493, grad_solution error = 2.280966
solution loss = 4.992482, solution error = 1.204074, grad_solution error = 2.277938
solution loss = 5.016865, solution error = 1.206920, grad_solution error = 2.276556
solution loss = 4.948559, solution error = 1.207290, grad_solution error = 2.270313
solution loss = 4.940208, solution error = 1.205472, grad_solution error = 2.270358
solution loss = 4.865925, solution error = 1.204976, grad_solution error = 2.266292
solution loss = 4.868303, solution error = 1.207373, grad_solution error = 2.266197
solution loss = 4.805617, solution error = 1.207700, grad_solution error = 2.260756
solution loss = 4.726307, solution error = 1.204096, grad_solution error = 2.258560
solution loss = 4.740878, solution error = 1.204675, grad_solution error = 2.256632
solution loss = 4.670905, solution error = 1.206910, grad_solution error = 2.255804
solution loss = 4.602532, solution error = 1.203605, grad_solution error = 2.251318
solution loss = 4.592169, solution error = 1.207129, grad_solution error = 2.253491
solution loss = 4.588572, solution error = 1.202858, grad_solution error = 2.247820
solution loss = 4.549325, solution error = 1.203200, grad_solution error = 2.247637
solution loss = 4.526680, solution error = 1.206136, grad_solution error = 2.244991
solution loss = 4.436867, solution error = 1.203156, grad_solution error = 2.240782
solution loss = 4.424772, solution error = 1.203965, grad_solution error = 2.240916
solution loss = 4.405007, solution error = 1.201487, grad_solution error = 2.238830
solution loss = 4.396153, solution error = 1.200126, grad_solution error = 2.237217
solution loss = 4.371896, solution error = 1.202212, grad_solution error = 2.233456
solution loss = 4.305911, solution error = 1.201149, grad_solution error = 2.234441
solution loss = 4.276136, solution error = 1.201441, grad_solution error = 2.230926
solution loss = 4.232058, solution error = 1.202019, grad_solution error = 2.228739
solution loss = 4.220569, solution error = 1.201481, grad_solution error = 2.227210
solution loss = 4.204943, solution error = 1.201218, grad_solution error = 2.224316
solution loss = 4.185439, solution error = 1.201750, grad_solution error = 2.222751
solution loss = 4.134132, solution error = 1.200682, grad_solution error = 2.221092
solution loss = 4.098465, solution error = 1.201400, grad_solution error = 2.223060
solution loss = 4.058811, solution error = 1.199782, grad_solution error = 2.216514
solution loss = 4.028224, solution error = 1.200932, grad_solution error = 2.218361
solution loss = 4.010913, solution error = 1.200586, grad_solution error = 2.213089
solution loss = 4.003752, solution error = 1.199749, grad_solution error = 2.215972
solution loss = 4.004346, solution error = 1.199502, grad_solution error = 2.210968
solution loss = 3.945737, solution error = 1.199387, grad_solution error = 2.211659
solution loss = 3.891498, solution error = 1.199754, grad_solution error = 2.207579
solution loss = 3.850214, solution error = 1.197921, grad_solution error = 2.207349
solution loss = 3.848567, solution error = 1.199685, grad_solution error = 2.203574
solution loss = 3.820590, solution error = 1.196540, grad_solution error = 2.206021
solution loss = 3.805158, solution error = 1.197912, grad_solution error = 2.202030
solution loss = 3.766207, solution error = 1.197797, grad_solution error = 2.201247
solution loss = 3.797170, solution error = 1.196097, grad_solution error = 2.200365
solution loss = 3.754351, solution error = 1.198292, grad_solution error = 2.196416
solution loss = 3.714257, solution error = 1.198207, grad_solution error = 2.197812
solution loss = 3.722302, solution error = 1.197789, grad_solution error = 2.197765
solution loss = 3.667302, solution error = 1.197724, grad_solution error = 2.194886
solution loss = 3.619186, solution error = 1.198642, grad_solution error = 2.192400
