Training ... 
solution loss = 1415.924454, solution error = 2.928591, grad_solution error = 1.604721
solution loss = 1558.596252, solution error = 2.925358, grad_solution error = 1.604539
solution loss = 1348.575409, solution error = 2.922376, grad_solution error = 1.604516
solution loss = 1391.737747, solution error = 2.920407, grad_solution error = 1.604505
solution loss = 1374.374603, solution error = 2.920057, grad_solution error = 1.604468
solution loss = 1370.946091, solution error = 2.920004, grad_solution error = 1.604443
solution loss = 1405.356476, solution error = 2.911091, grad_solution error = 1.604857
solution loss = 1515.152435, solution error = 2.863246, grad_solution error = 1.608907
solution loss = 1430.522385, solution error = 2.839525, grad_solution error = 1.612343
solution loss = 1612.363770, solution error = 2.833639, grad_solution error = 1.613345
solution loss = 1308.497482, solution error = 2.832582, grad_solution error = 1.613078
solution loss = 1352.210007, solution error = 2.831709, grad_solution error = 1.612964
solution loss = 1311.609467, solution error = 2.830820, grad_solution error = 1.612936
solution loss = 1338.091843, solution error = 2.829704, grad_solution error = 1.612921
solution loss = 1463.267532, solution error = 2.829534, grad_solution error = 1.612971
solution loss = 1348.691467, solution error = 2.826459, grad_solution error = 1.613069
solution loss = 1322.223877, solution error = 2.823332, grad_solution error = 1.613065
solution loss = 1203.199600, solution error = 2.819653, grad_solution error = 1.613052
solution loss = 1410.596039, solution error = 2.814314, grad_solution error = 1.612992
solution loss = 1269.872131, solution error = 2.798816, grad_solution error = 1.612957
solution loss = 1313.485794, solution error = 2.791245, grad_solution error = 1.612948
solution loss = 1205.190033, solution error = 2.789588, grad_solution error = 1.613023
solution loss = 1293.471436, solution error = 2.788288, grad_solution error = 1.613018
solution loss = 1298.775558, solution error = 2.786185, grad_solution error = 1.612941
solution loss = 1523.827759, solution error = 2.783483, grad_solution error = 1.612817
solution loss = 1222.661606, solution error = 2.779306, grad_solution error = 1.612611
solution loss = 1324.088272, solution error = 2.776457, grad_solution error = 1.612502
solution loss = 1310.283493, solution error = 2.775092, grad_solution error = 1.612497
solution loss = 1283.288528, solution error = 2.774110, grad_solution error = 1.612548
solution loss = 1302.522247, solution error = 2.773753, grad_solution error = 1.612637
solution loss = 1275.033554, solution error = 2.772491, grad_solution error = 1.612648
solution loss = 1248.629684, solution error = 2.771185, grad_solution error = 1.612639
solution loss = 1242.438095, solution error = 2.770250, grad_solution error = 1.612515
solution loss = 1278.858719, solution error = 2.766876, grad_solution error = 1.612387
solution loss = 1242.856644, solution error = 2.756314, grad_solution error = 1.612557
solution loss = 1266.009811, solution error = 2.750920, grad_solution error = 1.612563
solution loss = 1210.888062, solution error = 2.746922, grad_solution error = 1.612431
solution loss = 1235.074020, solution error = 2.744293, grad_solution error = 1.612375
solution loss = 1268.946838, solution error = 2.741846, grad_solution error = 1.612348
solution loss = 1357.729111, solution error = 2.739397, grad_solution error = 1.612295
solution loss = 1269.679550, solution error = 2.733711, grad_solution error = 1.611977
solution loss = 1214.521942, solution error = 2.729182, grad_solution error = 1.611804
solution loss = 1260.115128, solution error = 2.725914, grad_solution error = 1.611669
solution loss = 1256.789825, solution error = 2.724346, grad_solution error = 1.611662
solution loss = 1183.070374, solution error = 2.722494, grad_solution error = 1.611700
solution loss = 1217.622314, solution error = 2.721534, grad_solution error = 1.611723
solution loss = 1227.494507, solution error = 2.719676, grad_solution error = 1.611699
solution loss = 1194.475159, solution error = 2.718462, grad_solution error = 1.611970
solution loss = 1297.893402, solution error = 2.716630, grad_solution error = 1.612061
solution loss = 1430.044266, solution error = 2.716164, grad_solution error = 1.611996
solution loss = 1251.738617, solution error = 2.714969, grad_solution error = 1.611870
solution loss = 1255.999313, solution error = 2.716408, grad_solution error = 1.611893
solution loss = 1254.100052, solution error = 2.720542, grad_solution error = 1.612038
solution loss = 1396.986084, solution error = 2.720397, grad_solution error = 1.612041
solution loss = 1427.679764, solution error = 2.719608, grad_solution error = 1.611987
solution loss = 1232.395218, solution error = 2.719461, grad_solution error = 1.612440
solution loss = 1228.479523, solution error = 2.720718, grad_solution error = 1.613684
solution loss = 1163.380386, solution error = 2.721036, grad_solution error = 1.614425
solution loss = 1211.401535, solution error = 2.719943, grad_solution error = 1.614651
solution loss = 1162.207413, solution error = 2.719338, grad_solution error = 1.614738
solution loss = 1182.861450, solution error = 2.717251, grad_solution error = 1.614735
solution loss = 1168.687378, solution error = 2.714384, grad_solution error = 1.614692
solution loss = 1149.871918, solution error = 2.710162, grad_solution error = 1.614594
solution loss = 1216.429916, solution error = 2.707741, grad_solution error = 1.614561
solution loss = 1191.985382, solution error = 2.705772, grad_solution error = 1.614563
solution loss = 1137.657013, solution error = 2.703328, grad_solution error = 1.614550
solution loss = 1214.741089, solution error = 2.701224, grad_solution error = 1.614528
solution loss = 1179.399582, solution error = 2.698541, grad_solution error = 1.614491
solution loss = 1148.854919, solution error = 2.696537, grad_solution error = 1.614424
solution loss = 1167.316055, solution error = 2.694005, grad_solution error = 1.614366
solution loss = 1188.968468, solution error = 2.690923, grad_solution error = 1.614384
solution loss = 1257.170380, solution error = 2.687159, grad_solution error = 1.614182
solution loss = 1182.867462, solution error = 2.680583, grad_solution error = 1.613515
solution loss = 1131.151733, solution error = 2.676894, grad_solution error = 1.613246
solution loss = 1178.018250, solution error = 2.674324, grad_solution error = 1.613166
solution loss = 1225.194351, solution error = 2.671106, grad_solution error = 1.613268
solution loss = 1184.072266, solution error = 2.669222, grad_solution error = 1.613231
solution loss = 1236.276917, solution error = 2.669541, grad_solution error = 1.613191
solution loss = 1521.806641, solution error = 2.655459, grad_solution error = 1.612390
solution loss = 1212.122528, solution error = 2.615213, grad_solution error = 1.609857
solution loss = 1214.308441, solution error = 2.603392, grad_solution error = 1.609195
solution loss = 1131.562149, solution error = 2.600397, grad_solution error = 1.609025
